Footprint,Quantity,Additional,Designation,Manufacturer,Stock,Unit_Price,Ext_Price,URL
IC_BNO085,1,1,BNO085,,,,,https://www.digikey.com/en/products/detail/ceva-technologies-inc/BNO085/9445940
JST 2 Pin Hor,1,0,,,,,,https://a.co/d/8D57Hyv
JST 2 Pin Vert,1,0,,,,,,https://a.co/d/g4ty8Ep
JST 4 Pin Hor,1,0,,,,,,https://a.co/d/6fNE7Ok
JST 4 Pin Vert,1,0,,,,,,https://a.co/d/cc5nvbv
L_1210_3225Metric,3,-3,15u,,,,,
LBAA0XV2GT001,3,0,LBAA0XV2GT-001,,,,,https://www.digikey.com/en/products/detail/murata-electronics/LBAA0XV2GT-001/23023627
LED_0805_2012Metric,41,-41,LED,,,,,
LGA-14L_2P5X3X0P86_STM,2,2,LSM6DSOTR,,,,,https://www.digikey.com/en/products/detail/stmicroelectronics/LSM6DSOTR/9586579
LGA-28_5.2x3.8mm_P0.5mm,3,2,BNO055,,,,,https://www.digikey.com/en/products/detail/bosch-sensortec/BNO055/6136301
LGA-8_3x5mm_P1.25mm,2,8,MS5611-01BA,,,,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/MS561101BA03-50/5277445
LGA8_FRE,1,1,MPL115A2ST1,,,,,https://www.digikey.com/en/products/detail/nxp-usa-inc/MPL115A2ST1/23330358
PQFN50P450X300X100-16N,3,2,BMI088,,,,,https://www.digikey.com/en/products/detail/bosch-sensortec/BMI088/8634936QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm
QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm,2,2,MLX90395KLW-BBA-001-SP,,,,,https://www.digikey.com/en/products/detail/melexis-technologies-nv/MLX90395KLW-BBA-001-SP/12330332
QFN10_BMP581_BOS,1,1,BMP390,,,,,https://www.digikey.com/en/products/detail/bosch-sensortec/BMP390/16164575
R_0402_1005Metric,7,-7,5.1K,,,,,
R_0603_1608Metric,3,97,100k,,,,,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07100KL/726889
R_0603_1608Metric,8,92,10K,,,,,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880
R_0603_1608Metric,1,49,200k,,,,,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB304V/1465913
R_0603_1608Metric,3,-3,2k,,,,,
R_0603_1608Metric,1,49,300k,,,,,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB204V/1465909
R_0603_1608Metric,18,82,5.1 k,,,,,https://www.digikey.com/en/products/detail/yageo/RC0603FR-075K1L/727268
R_0603_1608Metric,36,14,560Ω,,,,,https://www.digikey.com/en/products/detail/yageo/RC0603JR-07560RL/726805
R_0603_1608Metric,3,-3,78k7,,,,,
SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,3,0,SMA,,,,,https://a.co/d/1O4aoU4
SON40P200X250X40-9N,1,1,MLX90397RLQ-AAA-000-SP,,,,,https://www.digikey.com/en/products/detail/melexis-technologies-nv/MLX90397RLQ-AAA-000-SP/16538663
SOT-23-5,1,1,XC6220B331MR,,,,,https://www.digikey.com/en/products/detail/torex-semiconductor-ltd/XC6220B331MR-G/2138177
SW3_CSS-1210TB_NDC,1,1,CSS-1210TB,,,,,https://www.digikey.com/en/products/detail/nidec-components-corporation/CSS-1210TB/1124209
SW4_SKRPABE010_ALPS,2,2,SKRPABE010,,,,,https://www.digikey.com/en/products/detail/alps-alpine/SKRPABE010/18768948
Texas_DRT-3,1,9,TPD2EUSB30,,,,,https://www.digikey.com/en/products/detail/texas-instruments/TPD2EUSB30ADRTR/2520830
TFBGA-100_8x8mm_Layout10x10_P0.8mm,3,7,STM32H723VGH6,,,,,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32H723VGH6/14305562
U.FL_Molex_MCRF_73412-0110_Vertical,1,1,Conn_Coaxial_Small,,,,,https://www.digikey.com/en/products/detail/molex/0734120110/1894611
ublox_LEA,1,-1,LEA-M8T,,,,,https://www.digikey.com/en/products/detail/u-blox/LEA-M8T-1/21407829
ublox_SAM-M8Q,3,7,SAM-M10Q,,,,,https://www.digikey.com/en/products/detail/u-blox/SAM-M10Q-00B/16672678
WLP4_0P82X0P82_MEM-M,4,6,MMC5603NJ,,,,,https://www.digikey.com/en/products/detail/memsic-inc/MMC5603NJ/10452796
WSEN-PADS_2511020213301,1,1,WSEN-PADS_2511020213301 (Barometer),,,,,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/2511020213301/10640117?s=N4IgTCBcDaIOoGUCiA5AtABQIIBEDOIAugL5A
XCVR_ESP32-S3-MINI-1-N4R2,1,4,ESP32-S3-MINI-1,,,,,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-MINI-1-N4R2/22597234
XDCR_BMI270,1,1,BMI270 (IMU),,,,,https://www.digikey.com/en/products/detail/bosch-sensortec/BMI270/9974486
