t,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z
0,0,0,0.1,0,0,0,0,0,-9.8
0.02,0.0,0.0,0.16912000000000002,0.0,0.0,2.3040000000000003,0,0,115.2
0.04,0.0,0.0,0.2842891116544001,0.0,0.0,4.606970388480001,0,0,115.148519424
0.06,0.0,0.0,0.44548675653618397,0.0,0.0,6.908911625552797,0,0,115.0970618536398
0.08,0.0,0.0,0.6526923654144231,0.0,0.0,9.20982417112557,0,0,115.04562727863865
0.1,0.0,0.0,0.9058853782501667,0.0,0.0,11.509708484899978,0,0,114.99421568872037
0.12000000000000001,0.0,0.0,1.2050452441923343,0.0,0.0,13.808565026372246,0,0,114.9428270736134
0.14,0.0,0.0,1.5501514215736096,0.0,0.0,16.106394254833262,0,0,114.89146142305074
0.16,0.0,0.0,1.9411833779063368,0.0,0.0,18.40319662936866,0,0,114.84011872677002
0.18,0.0,0.0,2.378120589878418,0.0,0.0,20.69897260885893,0,0,114.78879897451338
0.19999999999999998,0.0,0.0,2.8609425433492137,0.0,0.0,22.993722651979486,0,0,114.73750215602766
0.21999999999999997,0.0,0.0,3.3896287333454422,0.0,0.0,25.287447217200768,0,0,114.68622826106417
0.23999999999999996,0.0,0.0,3.964158664057085,0.0,0.0,27.580146762788345,0,0,114.63497727937887
0.25999999999999995,0.0,0.0,4.584511848833292,0.0,0.0,29.87182174680299,0,0,114.58374920073226
0.27999999999999997,0.0,0.0,5.250667810178285,0.0,0.0,32.162472627100776,0,0,114.53254401488944
0.3,0.0,0.0,5.962606079747273,0.0,0.0,34.452099861333174,0,0,114.48136171162007
0.32,0.0,0.0,6.720306198342355,0.0,0.0,36.74070390694714,0,0,114.43020228069838
0.34,0.0,0.0,7.52374771590844,0.0,0.0,39.0282852211852,0,0,114.37906571190318
0.36000000000000004,0.0,0.0,8.372910191529154,0.0,0.0,41.314844261085554,0,0,114.32795199501784
